tx_datetime,is_turnpt,close,duration,prc_diff
2013-07-18,,8096.0,1,-141.0
2013-07-19,1.0,7955.0,3,67.0
2013-07-22,,8022.0,1,112.0
2013-07-23,-1.0,8134.0,1,-8.0
2013-07-24,,8126.0,1,-19.0
2013-07-25,,8107.0,1,-7.0
2013-07-26,,8100.0,3,-65.0
2013-07-29,1.0,8035.0,1,95.0
2013-07-30,-1.0,8130.0,1,-81.0
2013-07-31,,8049.0,1,-4.0
2013-08-01,1.0,8045.0,1,15.0
2013-08-02,,8060.0,3,38.0
2013-08-05,-1.0,8098.0,1,-107.0
2013-08-06,,7991.0,1,-146.0
2013-08-07,1.0,7845.0,1,1.0
2013-08-08,-1.0,7846.0,1,-21.0
2013-08-09,1.0,7825.0,3,35.0
2013-08-12,,7860.0,1,94.0
2013-08-13,-1.0,7954.0,1,-26.0
2013-08-14,,7928.0,1,-67.0
2013-08-15,1.0,7861.0,1,55.0
2013-08-16,-1.0,7916.0,3,-29.0
2013-08-19,,7887.0,1,-82.0
2013-08-20,,7805.0,2,-105.0
2013-08-22,,7700.0,0,0.0
2013-08-23,,7786.0,3,38.0
2013-08-26,-1.0,7824.0,1,-67.0
2013-08-27,1.0,7757.0,1,23.0
2013-08-28,,7780.0,1,116.0
2013-08-29,,7896.0,1,73.0
2013-08-30,,7969.0,3,49.0
2013-09-02,,8018.0,1,34.0
2013-09-03,,8052.0,1,19.0
2013-09-04,,8071.0,1,59.0
2013-09-05,,8130.0,1,9.0
2013-09-06,,8139.0,3,20.0
2013-09-09,,8159.0,1,12.0
2013-09-10,,8171.0,1,20.0
2013-09-11,,8191.0,1,3.0
2013-09-12,-1.0,8194.0,1,-48.0
2013-09-13,1.0,8146.0,1,16.0
2013-09-14,,8162.0,2,87.0
2013-09-16,-1.0,8249.0,1,-9.0
2013-09-17,,8240.0,1,-62.0
2013-09-18,,8178.0,0,0.0
2013-09-23,,8256.0,1,12.0
2013-09-24,-1.0,8268.0,1,-35.0
2013-09-25,,8233.0,1,-50.0
2013-09-26,1.0,8183.0,1,0.0
2013-09-27,-1.0,8183.0,3,-63.0
2013-09-30,1.0,8120.0,1,30.0
2013-10-01,,8150.0,1,7.0
2013-10-02,,8157.0,1,221.0
2013-10-03,-1.0,8378.0,1,-12.0
2013-10-04,,8366.0,3,-40.0
2013-10-07,1.0,8326.0,1,48.0
2013-10-08,-1.0,8374.0,1,-39.0
2013-10-09,1.0,8335.0,2,26.0
2013-10-11,-1.0,8361.0,3,-67.0
2013-10-14,1.0,8294.0,1,60.0
2013-10-15,-1.0,8354.0,1,-20.0
2013-10-16,,8334.0,0,0.0
2013-10-17,,8363.0,1,53.0
2013-10-18,-1.0,8416.0,3,-15.0
2013-10-21,1.0,8401.0,1,13.0
2013-10-22,-1.0,8414.0,1,-53.0
2013-10-23,1.0,8361.0,1,30.0
2013-10-24,-1.0,8391.0,1,-69.0
2013-10-25,1.0,8322.0,3,66.0
2013-10-28,,8388.0,1,22.0
2013-10-29,,8410.0,1,31.0
2013-10-30,-1.0,8441.0,1,-14.0
2013-10-31,,8427.0,1,-34.0
2013-11-01,,8393.0,3,-54.0
2013-11-04,,8339.0,1,-71.0
2013-11-05,1.0,8268.0,1,1.0
2013-11-06,-1.0,8269.0,1,-12.0
2013-11-07,,8257.0,1,-33.0
2013-11-08,,8224.0,3,-29.0
2013-11-11,1.0,8195.0,1,21.0
2013-11-12,-1.0,8216.0,1,-109.0
2013-11-13,1.0,8107.0,1,17.0
2013-11-14,,8124.0,1,35.0
2013-11-15,,8159.0,3,30.0
2013-11-18,,8189.0,1,60.0
2013-11-19,-1.0,8249.0,1,-42.0
2013-11-20,,8207.0,0,0.0
2013-11-21,,8078.0,1,8.0
2013-11-22,,8086.0,3,109.0
2013-11-25,,8195.0,1,54.0
2013-11-26,,8249.0,1,50.0
2013-11-27,,8299.0,1,79.0
2013-11-28,,8378.0,1,49.0
2013-11-29,-1.0,8427.0,3,-14.0
2013-12-02,,8413.0,1,-4.0
2013-12-03,1.0,8409.0,1,27.0
2013-12-04,-1.0,8436.0,1,-57.0
2013-12-05,1.0,8379.0,1,5.0
2013-12-06,,8384.0,3,72.0
2013-12-09,-1.0,8456.0,1,-1.0
2013-12-10,,8455.0,1,-23.0
2013-12-11,,8432.0,1,-40.0
2013-12-12,1.0,8392.0,1,5.0
2013-12-13,-1.0,8397.0,3,-61.0
2013-12-16,1.0,8336.0,1,26.0
2013-12-17,-1.0,8362.0,1,-30.0
2013-12-18,,8332.0,0,0.0
2013-12-19,,8392.0,1,23.0
2013-12-20,,8415.0,3,60.0
2013-12-23,,8475.0,1,8.0
2013-12-24,,8483.0,1,17.0
2013-12-25,,8500.0,1,1.0
2013-12-26,,8501.0,1,42.0
2013-12-27,,8543.0,3,82.0
2013-12-30,,8625.0,1,8.0
2013-12-31,-1.0,8633.0,2,-15.0
2014-01-02,,8618.0,1,-77.0
2014-01-03,,8541.0,3,-13.0
2014-01-06,1.0,8528.0,1,23.0
2014-01-07,,8551.0,1,35.0
2014-01-08,-1.0,8586.0,1,-58.0
2014-01-09,1.0,8528.0,1,11.0
2014-01-10,,8539.0,3,33.0
2014-01-13,-1.0,8572.0,1,-25.0
2014-01-14,1.0,8547.0,1,63.0
2014-01-15,,8610.0,0,0.0
2014-01-16,,8618.0,1,-12.0
2014-01-17,1.0,8606.0,3,16.0
2014-01-20,,8622.0,1,1.0
2014-01-21,,8623.0,1,12.0
2014-01-22,-1.0,8635.0,1,-39.0
2014-01-23,1.0,8596.0,1,23.0
2014-01-24,-1.0,8619.0,3,-173.0
2014-01-27,,8446.0,9,-203.0
2014-02-05,1.0,8243.0,1,32.0
2014-02-06,,8275.0,1,64.0
2014-02-07,,8339.0,3,16.0
2014-02-10,,8355.0,1,59.0
2014-02-11,,8414.0,1,67.0
2014-02-12,-1.0,8481.0,1,-38.0
2014-02-13,1.0,8443.0,1,65.0
2014-02-14,,8508.0,3,20.0
2014-02-17,,8528.0,1,34.0
2014-02-18,-1.0,8562.0,1,-15.0
2014-02-19,,8547.0,0,0.0
2014-02-20,,8483.0,1,104.0
2014-02-21,-1.0,8587.0,3,-38.0
2014-02-24,1.0,8549.0,1,24.0
2014-02-25,,8573.0,1,35.0
2014-02-26,,8608.0,1,16.0
2014-02-27,-1.0,8624.0,4,-58.0
2014-03-03,,8566.0,1,-13.0
2014-03-04,1.0,8553.0,1,66.0
2014-03-05,,8619.0,1,76.0
2014-03-06,,8695.0,1,10.0
2014-03-07,-1.0,8705.0,3,-28.0
2014-03-10,1.0,8677.0,1,38.0
2014-03-11,-1.0,8715.0,1,-53.0
2014-03-12,1.0,8662.0,1,78.0
2014-03-13,-1.0,8740.0,1,-47.0
2014-03-14,1.0,8693.0,3,8.0
2014-03-17,,8701.0,1,26.0
2014-03-18,-1.0,8727.0,1,-31.0
2014-03-19,,8696.0,0,0.0
2014-03-20,,8568.0,1,7.0
2014-03-21,,8575.0,3,26.0
2014-03-24,,8601.0,1,58.0
2014-03-25,,8659.0,1,52.0
2014-03-26,,8711.0,1,43.0
2014-03-27,-1.0,8754.0,1,-19.0
2014-03-28,1.0,8735.0,3,54.0
2014-03-31,,8789.0,1,40.0
2014-04-01,,8829.0,1,26.0
2014-04-02,,8855.0,1,13.0
2014-04-03,-1.0,8868.0,4,-10.0
2014-04-07,1.0,8858.0,1,21.0
2014-04-08,,8879.0,1,17.0
2014-04-09,,8896.0,1,11.0
2014-04-10,-1.0,8907.0,1,-37.0
2014-04-11,,8870.0,3,-12.0
2014-04-14,1.0,8858.0,1,38.0
2014-04-15,-1.0,8896.0,1,-23.0
2014-04-16,,8873.0,0,0.0
2014-04-17,,8897.0,1,21.0
2014-04-18,,8918.0,3,5.0
2014-04-21,,8923.0,1,27.0
2014-04-22,-1.0,8950.0,1,-28.0
2014-04-23,1.0,8922.0,1,15.0
2014-04-24,-1.0,8937.0,1,-187.0
2014-04-25,1.0,8750.0,3,69.0
2014-04-28,,8819.0,1,21.0
2014-04-29,-1.0,8840.0,1,-82.0
2014-04-30,1.0,8758.0,2,83.0
2014-05-02,-1.0,8841.0,3,-14.0
2014-05-05,1.0,8827.0,1,58.0
2014-05-06,-1.0,8885.0,1,-45.0
2014-05-07,1.0,8840.0,1,41.0
2014-05-08,-1.0,8881.0,1,-39.0
2014-05-09,,8842.0,3,-21.0
2014-05-12,1.0,8821.0,1,9.0
2014-05-13,,8830.0,1,52.0
2014-05-14,-1.0,8882.0,1,-5.0
2014-05-15,,8877.0,1,-1.0
2014-05-16,1.0,8876.0,3,12.0
2014-05-19,,8888.0,1,9.0
2014-05-20,-1.0,8897.0,1,-54.0
2014-05-21,,8843.0,0,0.0
2014-05-22,,8959.0,1,54.0
2014-05-23,,9013.0,3,28.0
2014-05-26,,9041.0,1,15.0
2014-05-27,,9056.0,1,80.0
2014-05-28,-1.0,9136.0,1,-20.0
2014-05-29,,9116.0,1,-25.0
2014-05-30,1.0,9091.0,4,13.0
2014-06-03,-1.0,9104.0,1,-2.0
2014-06-04,1.0,9102.0,1,16.0
2014-06-05,,9118.0,1,7.0
2014-06-06,,9125.0,3,21.0
2014-06-09,,9146.0,1,39.0
2014-06-10,,9185.0,1,26.0
2014-06-11,-1.0,9211.0,1,-7.0
2014-06-12,,9204.0,1,-6.0
2014-06-13,1.0,9198.0,3,2.0
2014-06-16,,9200.0,1,41.0
2014-06-17,-1.0,9241.0,1,-63.0
2014-06-18,,9178.0,0,0.0
2014-06-19,,9225.0,1,-45.0
2014-06-20,,9180.0,3,-14.0
2014-06-23,1.0,9166.0,1,6.0
2014-06-24,-1.0,9172.0,1,-15.0
2014-06-25,1.0,9157.0,1,76.0
2014-06-26,-1.0,9233.0,1,-26.0
2014-06-27,1.0,9207.0,3,83.0
2014-06-30,,9290.0,1,94.0
2014-07-01,,9384.0,1,18.0
2014-07-02,,9402.0,1,53.0
2014-07-03,-1.0,9455.0,1,-2.0
2014-07-04,,9453.0,3,-2.0
2014-07-07,1.0,9451.0,1,26.0
2014-07-08,-1.0,9477.0,1,-12.0
2014-07-09,1.0,9465.0,1,88.0
2014-07-10,-1.0,9553.0,1,-66.0
2014-07-11,1.0,9487.0,3,38.0
2014-07-14,,9525.0,1,36.0
2014-07-15,-1.0,9561.0,1,-148.0
2014-07-16,,9413.0,0,0.0
2014-07-17,,9356.0,1,-17.0
2014-07-18,1.0,9339.0,3,25.0
2014-07-21,,9364.0,1,69.0
2014-07-22,,9433.0,2,36.0
2014-07-24,-1.0,9469.0,1,-79.0
2014-07-25,,9390.0,3,-3.0
2014-07-28,,9387.0,1,-26.0
2014-07-29,1.0,9361.0,1,55.0
2014-07-30,-1.0,9416.0,1,-126.0
2014-07-31,,9290.0,1,-37.0
2014-08-01,1.0,9253.0,3,33.0
2014-08-04,-1.0,9286.0,1,-191.0
2014-08-05,1.0,9095.0,1,3.0
2014-08-06,-1.0,9098.0,1,-6.0
2014-08-07,,9092.0,1,-2.0
2014-08-08,1.0,9090.0,3,51.0
2014-08-11,-1.0,9141.0,1,-20.0
2014-08-12,1.0,9121.0,1,78.0
2014-08-13,,9199.0,1,19.0
2014-08-14,-1.0,9218.0,1,-15.0
2014-08-15,,9203.0,3,-62.0
2014-08-18,1.0,9141.0,1,98.0
2014-08-19,,9239.0,1,20.0
2014-08-20,,9259.0,0,0.0
2014-08-21,,9231.0,1,147.0
2014-08-22,,9378.0,3,13.0
2014-08-25,-1.0,9391.0,1,-1.0
2014-08-26,1.0,9390.0,1,87.0
2014-08-27,,9477.0,1,2.0
2014-08-28,-1.0,9479.0,1,-6.0
